"Key","ChineseName","Description"
"ADSAimDistanceFactor","瞄准距离",""
"ADSTime","瞄准时间",""
"AdsWalkSpeedMultiplier","瞄准移动系数",""
"AimTurnSpeed","瞄准转向速度",""
"ArmorBreak","护甲破坏",""
"ArmorBreakGain","护甲破坏",""
"ArmorPiercing","穿甲等级",""
"ArmorPiercingGain","护甲穿透",""
"Attack","攻击力",""
"AttackRange","攻击距离",""
"AttackSpeed","攻击速度",""
"BleedChance","流血概率",""
"BodyArmor","身体护甲",""
"buffChance","负面效果概率",""
"BulletDistance","射程",""
"BulletSpeed","子弹速度",""
"BulletSpeedMultiplier","子弹速度倍率",""
"BurstCount","连发数",""
"Capacity","弹匣容量",""
"ColdProtection","寒冷防护",""
"CritDamageFactor","暴击伤害倍率",""
"CritDamageFactorGain","暴头伤害倍率",""
"CritRate","暴击率",""
"CritRateGain","暴击率",""
"Damage","伤害",""
"DamageGain","伤害",""
"DashCanControl","翻滚方向控制",""
"DashSpeed","翻滚速度",""
"DefaultScatter","腰射基础散布",""
"DefaultScatterADS","瞄准初始扩散",""
"DurabilityCost","耐久消耗",""
"ElecProtection","电防护",""
"ElementFactor_Electricity","电承伤倍率",""
"ElementFactor_Fire","火承伤倍率",""
"ElementFactor_Ghost","灵承伤倍率",""
"ElementFactor_Ice","冰承伤倍率",""
"ElementFactor_Physics","物理承伤倍率",""
"ElementFactor_Poison","毒承伤倍率",""
"ElementFactor_Space","空间承伤倍率",""
"EnergyCost","能量消耗速率",""
"EquipmentRepairLossFactor","装备维修损耗",""
"ExplosionDamageMultiplier","爆炸伤害系数",""
"FireProtection","火防护",""
"FishingDifficulty","垂钓难度",""
"FishingQualityFactor","垂钓运气",""
"FishingTime","垂钓能力",""
"FlashLight","手电",""
"FoodGain","食物效率",""
"GasMask","毒气防护",""
"GunCritDamageGain","枪械爆头伤害",""
"GunCritRateGain","枪械暴击率",""
"GunDamageGain","枪械伤害",""
"GunDamageMultiplier","枪械伤害倍率",""
"GunDistanceMultiplier","枪械射程系数",""
"GunScatterMultiplier","枪械散布",""
"GunShootSpeedMultiplier","枪械射速倍率",""
"HeadArmor","头部护甲",""
"HealGain","治疗效率",""
"HearingAbility","听力",""
"HeatProtection","炎热防护",""
"HungerDurability","最大能量",""
"HungerDuratbility","饥饿",""
"InventoryCapacity","背包空间",""
"MaxEnergy","最大能量",""
"MaxHealth","最大生命值",""
"MaxScatter","腰射最大扩散",""
"MaxScatterADS","瞄准最大扩散",""
"MaxWater","最大水分",""
"MaxWeight","最大负重",""
"MeleeCritDamageGain","近战暴击伤害",""
"MeleeCritRateGain","近战暴击率",""
"MeleeDamageMultiplier","近战伤害倍率",""
"Moveability","移动能力",""
"MoveSpeedMultiplier","移动速度系数",""
"NightVisionAbility","夜视能力",""
"NightVisionType","夜视类型",""
"OverrideTriggerMode","开枪模式",""
"Penetrate","单位穿透",""
"PetCapcity","宠物背包容量",""
"RecoilControl","后座力控制",""
"RecoilHMax","最大水平后坐力",""
"RecoilHMin","最小水平后坐力",""
"RecoilRecover","后坐力恢复",""
"RecoilRecoverTime","后坐力恢复起始时间",""
"RecoilScaleH","水平后坐力",""
"RecoilScaleV","垂直后坐力",""
"RecoilTime","后坐力持续时间",""
"RecoilVMax","最大垂直后坐力",""
"RecoilVMin","最小垂直后坐力",""
"ReloadSpeedGain","换弹速率",""
"ReloadTime","换弹时间",""
"RunAcc","奔跑加速度",""
"RunSoundRange","奔跑声音距离",""
"RunSpeed","奔跑速度",""
"ScatterFactor","腰射散布",""
"ScatterFactorADS","瞄准散布",""
"ScatterGrow","腰射扩散增长",""
"ScatterGrowADS","瞄准扩散增长",""
"ScatterRecover","腰射扩散恢复",""
"ScatterRecoverADS","瞄准扩散恢复",""
"SenseRange","感知距离",""
"ShootSpeed","射速",""
"ShotAngle","单发射击角度",""
"ShotCount","单发子弹数",""
"SoundRange","声音距离",""
"SoundVisable","听声辨位",""
"Stamina","体力",""
"StaminaCost","体力消耗",""
"StaminaDrainRate","体力消耗",""
"StaminaRecoverRate","体力恢复",""
"StaminaRecoverTime","体力恢复时间",""
"StormProtection","风暴防护",""
"TraceAbility","子弹追踪",""
"TurnSpeed","转向速度",""
"ViewAngle","视野角度",""
"ViewDistance","视野距离",""
"VisableDistanceFactor","被发现距离系数",""
"WalkAcc","行走加速度",""
"WalkSoundRange","行走声音距离",""
"WalkSpeed","行走速度",""
"WaterCost","水分消耗速率",""
"WaterEnergyRecoverMultiplier","基地中水分和能量恢复速率",""
"WeaponRepairLossFactor","武器维修损耗",""
