Key,ChineseContent,Category
Buff_AddSpeed,加速,Buffs
Buff_AddSpeed_Desc,提升移动速度,Buffs
Buff_BleedS,出血,Buffs
Buff_Starve,饥饿,Buffs
Buff_Starve_Desc,回复能力降低，持续身体损伤,Buffs
Buff_Stun,震慑,Buffs
Buff_Stun_Desc,受到震慑，行动力影响,Buffs
Buff_Thirsty,脱水,Buffs
Buff_Thirsty_Desc,严重脱水，机能降低,Buffs
Buff_Weight_Heavy,负重,Buffs
Buff_Weight_Heavy_Desc,物品较重，移动受到影响,Buffs
Buff_Weight_Light,轻盈,Buffs
Buff_Weight_Light_Desc,负重较低，灵活,Buffs
Buff_Weight_Overweight,无法承受,Buffs
Buff_Weight_Overweight_Desc,重量过大,Buffs
Buff_Weight_SuperHeavy,超重,Buffs
Buff_Weight_SuperHeavy_Desc,物品过重，影响速度以及水分消耗,Buffs
Buff_PoisonS,中毒,Buffs
Buff_PoisonS_Desc,持续伤害，降低回复量,Buffs
Buff_Electric,触电,Buffs
Buff_Electric_Desc,因为麻痹而减少移动速度,Buffs
Buff_Pain,疼痛,Buffs
Buff_Pain_Desc,疼痛会让角色失力，并降低移动能力,Buffs
Buff_PainResistShort,镇静,Buffs
Buff_PainResistShort_Desc,无视疼痛，持续60秒,Buffs
Buff_PainResistMiddle,镇静,Buffs
Buff_PainResistLong,镇静,Buffs
Buff_PainResistLong_Desc,无视疼痛，持续300秒,Buffs
Buff_PainResistMiddle_Desc,无视疼痛，持续180秒,Buffs
Buff_ElecResistShort,抗电,Buffs
Buff_ElecResistShort_Desc,受到的电伤害降低,Buffs
Buff_HotBlood,热血,Buffs
Buff_Happy,高兴,Buffs
Buff_Happy_Desc,今个真高兴,Buffs
Buff_Base,基地,Buffs
Building_Merchant_Equipment,防具店,Buildings
Building_Merchant_Equipment_Desc,出售各种头盔、护甲。,Buildings
Building_Merchant_Normal,杂货店,Buildings
Building_Merchant_Normal_Desc,购买各种药品、杂货。或者卖东西换钱。,Buildings
Building_Merchant_Weapon,武器店,Buildings
Building_Merchant_Weapon_Desc,武器，弹药，杀人越货的东西。,Buildings
Building_PrototypeMachine,原型机,Buildings
Building_PrototypeMachine_Desc,在这里升级你的技能，提高生存和战斗能力。,Buildings
Building_Workbench,简易工作台,Buildings
Building_Workbench_Desc,制作一些基本物品。,Buildings
Building_WorkbenchAdvance,工作台,Buildings
Building_WorkbenchAdvance_Desc,制作/分解物品、维修、录入蓝图。,Buildings
Building_MasterKey,钥匙录入机,Buildings
Building_MasterKey_Desc,录入钥匙后，可以随意打开对应的门。,Buildings
Building_Bathroom,卫生间,Buildings
Building_Bathroom_Desc,提供干净的水，至少没有泥土。,Buildings
Building_FoodTable,餐桌,Buildings
Building_FoodTable_Desc,吃东西用的。,Buildings
Building_QuestGiver,任务板,Buildings
Building_QuestGiver_Desc,成为雇佣兵，完成任务，获得奖励。,Buildings
MerchantName_Merchant_Equipment,装备商人,Buildings
MerchantName_Merchant_Weapon,武器商人,Buildings
MerchantName_Merchant_Normal,售货机,Buildings
Character_Jeff,杰夫,Characters
Character_Orange,橘子,Characters
Character_Xavier,老吴,Characters
Character_Bob,鲍勃,Characters
Character_Mud,泥巴,Characters
Character_Heart7,红7,Characters
Character_DemoTrophy,纪念奖杯,Characters
Cname_Wolf,狼,Characters
Cname_ShortEagle,矮鸭,Characters
Cname_UltraMan,光之男,Characters
Cname_CrazyRob,失控机械蜘蛛,Characters
Cname_Scav,拾荒者,Characters
Cname_Usec,雇佣兵,Characters
Cname_RobSpider,机械蜘蛛,Characters
Cname_ScavRage,暴走拾荒者,Characters
Cname_Boss_Sniper,劳登,Characters
Cname_SpeedyChild,急速团成员,Characters
Cname_Speedy,急速团长,Characters
language_name,简体中文,Default
QuestGiver_Jeff,杰夫,Default
Mirror,梦,Default
UI_CustomFace_Main_Title,首,Default
UI_CustomFace_Eyes_Title,眼,Default
UI_CustomFace_Hair_Title,冠,Default
UI_CustomFace_Mouth_Title,喙,Default
UI_CustomFace_Tail_Title,尾,Default
UI_CustomFace_EyesBrown_Title,眉,Default
UI_CustomFace_SkinColor,肤色,Default
UI_CustomFace_HeadSize,头大小,Default
UI_CustomFace_HeadHeight,头高低,Default
UI_CustomFace_HeadRoundness,圆脑袋,Default
UI_CustomFace_HairType,冠类型,Default
UI_CustomFace_HairColor,冠颜色,Default
UI_CustomFace_EyeType,眼类型,Default
UI_CustomFace_EyeColor,眼色,Default
UI_CustomFace_EyeSpace,眼间距,Default
UI_CustomFace_EyeHeight,眼高低,Default
UI_CustomFace_EyeSize,眼大小,Default
UI_CustomFace_EyeRotate,眼睛旋转,Default
UI_CustomFace_EyebrowType,眉类型,Default
UI_CustomFace_EyebrowColor,眉颜色,Default
UI_CustomFace_EyebrowSpace,眉间距,Default
UI_CustomFace_EyebrowHeight,眉高低,Default
UI_CustomFace_EyebrowSize,眉大小,Default
UI_CustomFace_EyebrowRotate,眉旋转,Default
UI_CustomFace_MouthType,喙类型,Default
UI_CustomFace_MouthColor,喙颜色,Default
