"Key","ChineseName","Description"
"0_MeleeWeapon_Template","切肉刀","看起来很粗犷的刀，不是很锋利。"
"1_AccessoryTemplate","配件模板","可增加精确度。"
"1_Armor_Template","一级防弹衣","比纸还薄，能挡一发水弹枪。"
"1_Blueprint","蓝图模板","用于研发武器：XXXX。"
"1_EnemyGun_Template","枪","一挺机枪，高续航。"
"1_Rifle-A_template","GunTemplate","\?"
"A_Bow_Lv_1","劣质弓","就是一根木棒中间绑了根绳子，可以凑合用用。"
"Accelerator","加速器","似乎是用来处理某种特殊晶体的机器。"
"AcceleratorCard","加速卡","可以让未来主机渲染3D画面。"
"AirplaneToy","飞机模型","航空公司售卖的飞机模型，做工劣质。"
"AncientCoins","铜钱串","好贵！"
"AnimalWeapon","空手",""
"Apple","苹果","一天一苹果。"
"AppleSeed","测试种子","能种出苹果、胡萝卜、土豆。"
"Aquarium","水族箱",""
"AR_ADAR_Normal","ADAR 2-15","制式武器的民用版本，虽然威力较低，但有着优秀的稳定性和更好的配件支持。"
"AR_AK47_Fire","带火AK-47","被空间风暴侵蚀的AK，觉醒了特殊的属性。"
"AR_AK47_Quest","特制AK47","特制的AK47，无法带回基地。"
"AR_ASVAL_Normal","AS Val","自带消音器的特种步枪，射速快，精度高但载弹量有限。"
"AR_AUGA1_Normal","StG 77","无托结构设计，短小紧凑后坐力较小，且自带光学瞄准镜。"
"AR_AUGA3_Normal","StG 77A3","StG 77的改进型，去掉了光学瞄准镜并提高了配件的支持。"
"AR_AUGA3_Quest","特制StG 77A3","特制的StG 77A3，无法带回基地。"
"AR_DTMDR556_Normal","DT MDR-556","还在测试阶段的制式步枪，模块化程度非常高，但不知什么原因，本来可以卸下的枪管和黄色的外壳绑定在了一起。"
"AR_MCXSpear_Normal","MCX Spear","自带火控系统的战斗步枪，除了贵，很难找到缺点。"
"AR_MF_Poison","MF-毒液","让射出的子弹裹上浓缩浆质，会让命中的目标中毒。"
"AR_MK47_Normal","MK-47","结合了AK-47与MF优点的现代枪械，保证了威力的同时，枪械的精度也得到了保证。"
"AR_MMG_Ice","MMG-冰锋","使用了特殊技术改造的MMG，传闻这种技术曾被用于改变天气。"
"AR_RPD_Ice","RPD-凛冬","使用冰霜结晶改造，发射的子弹会变成冰属性。"
"AR_RPD_Normal","RPD","RPK的前身，使用弹鼓供弹，载弹量非常大，火力支援能力不逊于RPK。"
"AR_VPO136_Normal","VPO-136","基于AK-47设计的半自动民用步枪，可靠性很高。"
"Aritichoke","洋蓟","高端的食材，烹饪方法也不太普通。"
"Armor_Cai","背带衣","Music~"
"Armor_ElecLandProtect","橡胶工作服","用橡胶制成的防电工作服，穿上后可以不受到地面上电流的伤害。"
"Armor_FC","高手护甲","游戏高手的象征。"
"Armor_FireLandProtect","石棉工作服","用石棉制成的防火工作服，穿着一整套可以不受到地面上火焰的伤害。"
"Armor_Football_1","休闲套装","条纹Polo衫配红短裤。"
"Armor_Football_2","运动背心","破了几个洞。"
"Armor_SBossElec_ResSpace","比利防弹衣","实验体比利比利穿着的防弹衣。比利比利的这套装备对电和空间属性有很好的防御能力，但极易被火属性伤害。"
"Armor_SBossFire_ResElec","啪啦防弹衣","实验体啪啦啪啦穿着的防弹衣。啪啦啪啦的这套装备对火和电属性有很好的防御能力，但极易被毒属性伤害。"
"Armor_SBossPhysical_ResPoison","噗咙防弹衣","实验体噗咙噗咙穿着的防弹衣。噗咙噗咙的这套装备对物理和毒属性有很好的防御能力，但对其他属性的防护能力都非常堪忧。"
"Armor_SBossPoison_LowDurResFire","咕噜防弹衣","实验体咕噜咕噜穿着的防弹衣。咕噜咕噜的这套装备防护能力很强且对火和毒属性有很好的防御能力，但耐久度相当堪忧且极易被电属性伤害。"
"Armor_SBossSpace","口口防弹衣",""
"Armor_WitchCloth","巫师服","你在迷惘吧？有路可行之人才会迷路。"
"ArmorLV1","一级防弹衣","比纸还薄，能挡一发水弹枪。"
"ArmorLV1_Snow","棉袄","很厚，看上去保暖效果就很好。"
"ArmorLV1Fire","一级防火服","强化了防火性能的护甲，虽然对于子弹的防护能力提升不多，但可以大幅降低受到的火伤害。"
"ArmorLV1StormProtection","风暴工作服","使用特殊材质制造的工作服，虽然抵挡子弹的能力很差，但穿上一整套可以抵御空间风暴早期的扰动。"
"ArmorLV2","二级防弹衣","看起来很专业，能够提供心理层面的鼓励。"
"ArmorLV2_Snow","二级雪地防弹衣","有保暖效果，但很有限。"
"ArmorLV3","三级防弹衣","三级防弹衣，在某些时候能够保住你的小命。"
"ArmorLV3_2","三级重型防弹衣","更重，但也更持久。"
"ArmorLV3_3","三级作战防弹衣","在重量、耐久度方面表现相当平衡的防弹衣。"
"ArmorLV3_Snow","三级雪地防弹衣","看起来只是在内部简单缝了一些保暖材料。"
"ArmorLV3StormProtection","三级风暴工作服","把三级防弹衣缝在了风暴工作服的外面。虽然有点重，但相当好使。"
"ArmorLV4","四级防弹衣","有真正的防弹性能，可靠之选。"
"ArmorLV4_2","四级作战防弹衣","重量较轻，还拥有相当多的口袋。"
"ArmorLV4_3","四级重型防弹衣","耐久度很好，性价比很高的防弹衣，但在装载能力上做出了一定的妥协。"
"ArmorLV4_Snow","四级雪地防弹衣","在四级作战防弹衣的基础上改进了保暖性能。"
"ArmorLV4_SnowBoss","防冻装甲","拥有保温内衬的同时，还有主动发热系统，穿着一套可以抵抗几乎所有的严寒气候。"
"ArmorLV4StormProtection","空间防护服","经过J-Lab特殊改造的衣服，单独穿着就可以抵抗空间扰动，如果凑成一套，甚至可以抵抗空间扭曲。"
"ArmorLV5","五级防弹衣","提供终极的防护，子弹打在身上就像洒洒水。"
"ArmorLV5_2","五级作战防弹衣","各项能力都相当均衡，就感觉有点小贵。"
"ArmorLV5_3","五级重型防弹衣","重且结实。"
"ArmorLV5StormProtection","空间防护服终极版","J-lab空间防护服反复迭代后的最终产品。在保证原有抵抗风暴的性能同时，大幅提高了其防护性能与空间伤害的防护能力且每1秒会清除身上一层碎裂。"
"ArmorLV6","六级防弹衣","能提供无与伦比的防护力，但十分沉重。"
"ARR_AHBow_Ice","冰原反曲弓","改造后可以射出冰属性箭矢的反曲弓，改造的方法看起来就是在弓片上画了一些雪花？！"
"ARR_AHBow_Normal","反曲弓","弓臂末端向外弯曲，有很好的能量储存与释放效率。在精准度和便携性上的表现都相当不错，非常适合野外环境使用。"
"ARR_BurstBow_Normal","连珠弓","可以一次性射出三支箭的弓，咻咻咻！"
"ARR_CrossBow_Normal","十字弩","结构相当简单的弩，装填时间较长，但装填后可以快速击发。"
"ArtichokeFloret","洋蓟瓣","一小簇洋蓟，很多鱼都很喜欢。"
"Aspirin","阿司匹林","小剂量药品，回复血量，并提供镇痛效果。"
"AtomicClock","原子钟","以原子能级跃迁频率为基准的高精度计时装置，可以非常精确的计时，但也相当昂贵。"
"Aubergine","茄子","请不要拿它做奇怪的事情。"
"Axe","战斧","狂战士专用。"
"Backpack_Cubbe","方块收集装置","用来收集和储存蓝色方块的容器，使用说明书上写着可以存储灵魂能量。"
"Backpack_FC","高手背包","游戏高手的象征。"
"Backpack_Fly_Wing","蝇蝇翅膀","蝇蝇队所用的背包，重量相当轻，还能大幅提高负重能力，就是空间相当小。"
"Backpack_Pumpkin_Jack","杰克背包","图案跟南瓜灯上的一模一样。"
"Backpack_SBossElec_ResSpace","比利背包","实验体比利比利穿着的背包，能提高对电和空间属性的防御能力。"
"Backpack_SBossFire_ResElec","啪啦背包","实验体啪啦啪啦穿着的背包，能提高对火和电属性的防御能力。"
"Backpack_SBossPoison_LowDurResFire","咕噜背包","实验体咕噜咕噜穿着的背包，能提高对火和毒属性的防御能力。"
"BackpackLV1","装饰包","也就能装点口红化妆品啥的。"
"BackpackLV2","小学背包","能装很多的作业本。"
"BackpackLV3","旅行包","多功能用途背包，旅行首选。"
"BackpackLV4","生存者背包","杀哥联名，户外生存必备。"
"BackpackLV5","行军背包MAX","使用蓝胖子口袋内衬同款材料，非常能装。"
"Ball","足球","气不太够的足球。"
"Banana","香蕉","可以快速补充能量。"
"Bandage","止血绷带","可以止血,并回复微少生命值。"
"Basket","购物框","装不了多少东西。"
"Basketball","T.H篮球","气还很足。"
"bat","棒球棍","很常见的木制棒球棍。"
"BatteryPP3","PP3电池","通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。"
"BatteryR6","R6电池","在各种用电器中被广泛使用的电池。"
"BeanCan","焗豆罐头","焗豆罐头。"
"BicyleToy","自行车模型","精致的自行车模型。"
"Biscuit","苏打饼干","一摞苏打饼干。"
"BitcionMiner","比特币矿机",""
"BitCoin","0.2BTC","这玩意也有实体的？"
"BitcoinMiner","比特币矿机",""
"BlackDogTag","狗牌","雇佣兵身上带着的身份识别牌，但好像都是一样的。"
"Bleach","漂白剂","一壶漂白剂。"
"Blindfold","遮眼布","以眼盲，换明心。"
"BlueCube","蓝色方块","神秘的蓝色方块，有种熟悉的感觉。"
"BoatTicket","船票","往返于零号区下水道与农场镇码头的船票。"
"Bolt","螺栓","略微生锈的螺栓，硬度够用。"
"Bone","骨头玩具","不知道给谁玩的。"
"Book","书","胡扯的书。"
"BP_ADAR","蓝图：ADAR 2-15","用于在工作台研发武器：ADAR 2-15。"
"BP_AK102","蓝图：AK-103","用于在工作台研发武器：AK-103。"
"BP_AK47","蓝图：AK-47","用于在工作台研发武器：AK-47。"
"BP_AK74U","蓝图：AK-74U","用于在工作台研发武器：AK-74U。"
"BP_AR_MF_Poison","蓝图：MF-毒液","用于在工作台研发武器：MF-毒液。"
"BP_AR_MK47_Normal","蓝图：MK-47","用于在工作台研发武器：MK-47。"
"BP_AR_MMG_Ice","蓝图：MMG-冰锋","用于在工作台研发武器：MMG-冰锋。"
"BP_AR_RPD_Ice","蓝图：RPD-凛冬","用于在工作台研发武器：RPD-凛冬。"
"BP_AR_RPD_Normal","蓝图：RPD","用于在工作台研发武器：RPD。"
"BP_ArmorLV1_Snow","蓝图：棉袄","用于在工作台制造棉袄的蓝图。"
"BP_ArmorLV2_Snow","蓝图：二级雪地防弹衣","用于在工作台制造二级雪地防弹衣的蓝图。"
"BP_ArmorLV3_Snow","蓝图：三级雪地防弹衣","用于在工作台制造三级雪地防弹衣的蓝图。"
"BP_ArmorLV4_Snow","蓝图：四级雪地防弹衣","用于在工作台制造四级雪地防弹衣的蓝图。"
"BP_ArmorLV4_SnowBoss","蓝图：防冻装甲","用于在工作台制造防冻装甲的蓝图。"
"BP_ArmorLV5","蓝图：五级防弹衣","用于在工作台制作五级防弹衣的蓝图。"
"BP_ArmorLV5_2","蓝图：五级作战防弹衣","用于在工作台制作五级作战防弹衣的蓝图。"
"BP_ArmorLV5_3","蓝图：五级重型防弹衣","用于在工作台制作五级重型防弹衣的蓝图。"
"BP_ArmorLV5StormProtection","蓝图：空间防护服终极版","用于在工作台制作空间防护服终极版的蓝图。"
"BP_ArmorLV6","蓝图：六级防弹衣","用于在工作台制作六级防弹衣的蓝图。"
"BP_ARR_AHBow_Ice","蓝图：冰原反曲弓","用于在工作台研发武器：冰原反曲弓。"
"BP_ARR_AHBow_Normal","蓝图：反曲弓","用于在工作台研发武器：反曲弓。"
"BP_ARR_CrossBow_Normal","蓝图：十字弩","用于在工作台研发武器：十字弩。"
"BP_ArrowExplosion","蓝图：爆炸箭","在工作台制作爆炸箭的配方。"
"BP_ASVAL","蓝图：AS Val","用于在工作台研发武器：AS Val。"
"BP_AUGA1","蓝图：StG 77","用于在工作台研发武器：StG-77。"
"BP_AUGA3","蓝图：StG 77A3","用于在工作台研发武器：StG-77A3。"
"BP_Backpack_Pumpkin_Jack","蓝图：杰克背包","用于在工作台制作杰克背包的蓝图。"
"BP_BackpackLV5","蓝图：行军背包MAX","用于在工作台制作行军背包MAX的蓝图。"
"BP_BR_Storm_Space","蓝图：风暴枪","用于在工作台研发武器：风暴枪。"
"BP_Bullet_AR_Piercing3","蓝图：AR-穿甲弹","用于制造AR-穿甲弹的蓝图。"
"BP_Bullet_AR_Piercing5","蓝图：AR-高级穿甲弹","用于制造AR-高级穿甲弹的蓝图。"
"BP_Bullet_AR_Piercing6","蓝图：AR-特种穿甲弹","用于在工作台制造AR-特种穿甲弹的蓝图。"
"BP_Bullet_ARR_Explosion","蓝图：爆炸箭",""
"BP_Bullet_BR_Normal","蓝图：普通重型弹","用于制造：L-普通弹。"
