"Key","ChineseName","Description"
"AddSpeed","加速","提升移动速度"
"Base","基地",""
"BleedResist","出血免疫","不会陷入出血状态"
"BleedS","出血","持续流失血量"
"BoneCrack","骨折","持续疼痛，奔跑会受伤，降低生命上限"
"Buff_RedEye","\?\?\?","\?\?\?"
"Burn","点燃","受到持续伤害且护甲降低"
"Burnbig","燃烧",""
"BurnResist","免疫点燃","不会陷入点燃状态"
"Cold","寒冷","感到寒冷，移动能力，射击速度与冰属性抗性都会下降"
"ColdResist","抗寒","短时间内提高1级寒冷防护"
"DarkCarrot","1000%","感知\+1000%，视野距离-1000%，陷入眩晕，持续7秒。"
"ElecResist","免疫感电","不会陷入感电状态"
"ElecResistShort","抗电","受到的电伤害降低"
"Electric","触电","因为麻痹而减少移动速度"
"equip_FC_Buff","高手","伤害提高"
"FireResistShort","抗火","受到的火伤害降低"
"Freeze","冰冻","移动速度与体力恢复速度降低"
"Frozen","冻结","无法移动，体力也无法恢复"
"Ghost","害怕","受到持续伤害且枪械和近战伤害降低"
"GhostResist","免疫害怕","不会陷入害怕状态"
"Happy","高兴","今个真高兴"
"Heal","回复","持续回复血量"
"HotBlood","热血","提高耐力，但水分消耗变多"
"Hurt","干枯","装备正在持续汲取你的力量"
"HurtByCold","冻伤","持续流失生命值，冰属性抗性降低"
"InjectorArmor","硬化","提高少量护甲"
"InjectorMaxWeight","负重提升","提高负重上限"
"InjectorMeleeDamage","力量","提高近战伤害80%"
"InjectorMeleeDamageDebuff","萎靡","降低近战伤害30%"
"InjectorRecoilControl","强翅","提高后坐力与散布控制"
"InjectorStamina","持久","提高耐力回复和水分消耗，降低耐力消耗"
"Nauseous","恶心","犯恶心，持续流失水分和能量"
"NauseousResist","免疫恶心","不会犯恶心了"
"NightVision","明视","略微增加夜间可见度"
"Pain","疼痛","疼痛会让角色失力，并降低移动能力"
"PainResistLong","镇静","无视疼痛，持续300秒"
"PainResistMiddle","镇静","无视疼痛，持续180秒"
"PainResistShort","镇静","无视疼痛，持续60秒"
"PaperBox","伪装","站着不动，就没人能发现你"
"PoisonLow","弱毒","持续受到伤害，毒性较低"
"PoisonResist","免疫中毒","不会陷入中毒状态"
"PoisonResistShort","抗毒","受到的毒伤害降低"
"PoisonS","中毒","持续伤害，降低回复量"
"Rage","愤怒","移速与近战伤害提高"
"RageTrigger","易怒","受到伤害时，移速与近战伤害提高"
"Space","扰动","感觉...不太对劲"
"Space2","扭曲","周围空间在坍缩"
"Space3","碎裂","属性全方面下降"
"SpaceResist","免疫碎裂","不会陷入碎裂状态"
"SpaceResistHigh","空间减伤（大）","较大幅降低受到的空间伤害"
"SpaceResistLow","空间减伤（小）","小幅减少受到的空间伤害"
"SpaceResistShort","抗空间","受到的空间伤害降低"
"Starve","饥饿","回复能力降低，持续身体损伤"
"StormProtection1","弱效空间抵抗","免疫扰动"
"StormProtection2","强效空间抵抗","免疫扭曲"
"Stun","震慑","受到震慑，行动力影响"
"StunResist","免疫震慑","不会陷入震慑状态"
"SuperCold","失温","体温水平开始低于安全线，运动机能全面下降"
"Thirsty","脱水","严重脱水，机能降低"
"Totem_Describe_hurt","图腾诅咒","持续流失生命值"
"Weight_Heavy","负重","物品较重，移动受到影响"
"Weight_Light","轻盈","负重较低，灵活"
"Weight_Overweight","无法承受","重量过大"
"Weight_SuperHeavy","超重","物品过重，影响速度以及水分消耗"
"Wound","创伤","减少生命上限"
